id,brand,channel_label,title,scheduled_date
0d192cd3-1069-43f7-92ab-cb471e30b8ab,EvidLY,Blog,Close the year with a complete record,2029-02-07
9c4a00b9-ba43-495b-9388-f52bfce2b462,EvidLY,Blog,"Coverage, exclusions, and the fine print",2027-03-09
292d6dfb-8daf-47ad-8ad5-2621877e9f8e,EvidLY,Blog,Cross-contact and the allergen requirement most kitchens miss,2027-08-31
f5f08daa-76f4-4a64-b3ea-65f04938f987,EvidLY,Blog,Exhaust fans and the failure you can hear,2027-08-03
2843e3a4-ea38-4f76-ba69-1ced2a7a71d5,EvidLY,Blog,Fire Prevention Month: the kitchen is the ignition point,2027-12-13
c086d38c-e7ee-4d1d-aa89-5d22b00b2d1c,EvidLY,Blog,Fire safety in the hottest month,2027-07-13
60e61a3e-74ea-443a-a1f0-8cb01dfea4fa,EvidLY,Blog,Grease interception and the other authority,2026-12-29
cf849713-5ac6-4b38-88e5-8049ea06c848,EvidLY,Blog,"Handler cards, CFPM, and the certification cliff",2027-06-08
da605cb6-e743-482f-8548-36e7655465cb,EvidLY,Blog,"Heat, humidity, and holding temperature",2027-06-15
bcbd2a4c-7091-4e53-8984-4870292bcc00,EvidLY,Blog,"Letter grade, number, or nothing: how your county actually evaluates your kitchen",2027-04-13
a49db956-42c8-4e22-b795-81633e353429,EvidLY,Blog,"Loss control: information, not accusation",2027-03-16
ba144537-e9c0-45c1-b4a0-12907d6eec79,EvidLY,Blog,Multi-location: what doesn't transfer,2030-02-11
c2aedd61-b6f6-448a-9d09-3a322fe37872,EvidLY,Blog,"New staff, old procedures",2028-09-04
fa5b8056-1ca4-4120-b2ce-469967921f56,EvidLY,Blog,NFPA 96 in plain English,2028-02-04
93d87915-4065-4f5b-88b9-4953d80a8923,EvidLY,Blog,One year of the Founder cohort,2027-07-20
cb0b8ea9-68af-4d1c-95bc-d16261c329f8,EvidLY,Blog,"Patio, outdoor, and mobile: the requirements change",2027-06-01
a92eacfd-7967-4033-be62-bcf30b305790,EvidLY,Blog,Peak season readiness,2027-03-30
10eebf22-8b52-4894-9376-95643039e8c6,EvidLY,Blog,"Pest, and the requirement that's always current",2026-09-29
252320e6-6996-4942-b101-e8bfac985831,EvidLY,Blog,Predict. Reduce. Prove. — year two,2027-08-10
e5c40571-67fb-41a2-af21-c109b08753c3,EvidLY,Blog,Prove: the capability nobody builds until they need it,2027-07-06
c6eed90c-3ea0-4b3c-8f7c-7e3ff7ffd48c,EvidLY,Blog,Reading the signal: the equipment drift that precedes failure by 90 days,2027-05-25
4165573c-2b37-4eac-b341-44b6626d0412,EvidLY,Blog,"Reduce, not prevent",2028-12-18
ee1d535b-856e-4146-b682-140e9c7af6d5,EvidLY,Blog,Refrigeration: recovery time over temperature,2027-07-27
5abd769f-3822-4824-a766-95cd6f43e1ca,EvidLY,Blog,"Selling, buying, and the diligence file",2026-12-22
36f58f9d-5486-414d-a209-ab1f24fcd11d,EvidLY,Blog,Setting the year: what to fix first,2029-09-06
83166700-8c0d-41c7-a95e-658e801bdc2e,EvidLY,Blog,Spring inspection season opens,2027-02-02
98d33999-3b7e-47fd-a883-2f9e979f1252,EvidLY,Blog,"Summer volume, shorter intervals",2027-03-02
0495b5d4-5297-4d02-b404-7c26a8e87a8a,EvidLY,Blog,Suppression service life,2026-09-01
9694ba31-f50e-47dc-92d7-3ca4780362c3,EvidLY,Blog,Suppression: the system that gives you no feedback,2028-03-29
e5b0d403-3c7b-4b68-b803-143412fb688d,EvidLY,Blog,The claim you'll never file,2027-06-29
acacf256-5b23-45b8-a9ce-378fa35d22e9,EvidLY,Blog,The compliance budget conversation,2029-10-31
595bb159-44af-40f8-96c4-7ec4ceec87ff,EvidLY,Blog,The equipment you're going to replace this year,2030-04-15
c619ec06-44bc-44c7-b8cd-792394f0bd3b,EvidLY,Blog,The five documents that decide a commercial kitchen insurance claim,2027-05-11
c6e923b3-99a9-4e6f-b470-fff79b855f1a,EvidLY,Blog,"The five temperature logs, not one",2027-05-18
e37beeca-c9f6-4875-b564-51aad6fab6ff,EvidLY,Blog,"The fryer, the thermostat, and the fire",2027-06-22
3dadcad6-fff6-4fc8-a0b3-f3a8912fafe3,EvidLY,Blog,The mid-year proof check,2026-11-10
9e5d9270-53b7-43a5-8a2a-2b77b1530b40,EvidLY,Blog,The next 169,2027-08-03
76b6e0b8-4138-4924-b499-3a9a83b01d8d,EvidLY,Blog,The pre-Q4 walkthrough,2027-10-18
ae6f3c3c-d379-4520-92a0-5f31ddebb945,EvidLY,Blog,The quiet week,2029-07-16
2f0bec6e-ecc6-4f8e-90bb-40a5bad0b287,EvidLY,Blog,The record at eleven months,2026-10-20
